NR_CANDIDATO,NM_CANDIDATO
90190,LUIZ CARLOS MARQUES MACHADO
55321,GILBERTO FIRMINO COUTINHO JUNIOR
70456,DANIEL QUEIROZ NASCIMENTO
45010,FABIANA MARIA PINHEIRO DE SOUZA
12200,LUCIANO TAVARES DO ESPIRITO SANTO
90313,MARIA AUXILIADORA FREITAS DE SOUZA
65765,JOSÉ BARBOSA DOS SANTOS NETO
12666,ALESSANDRA EMILIA CRUZ MARTINS
90690,ILBENIR PESSANHA CRESPO
20050,ELIAS DA SILVA LIRIO
22077,THIAGO BRAGA DE JESUS
10029,JOLUANE SILVA ROCHA
10770,FRANCINY SANTOS DA SILVA
70999,RITA DE CÁSSIA ARMINDO DA SILVA
40017,VIVIANI DE FÁTIMA MANHÃES MENDONÇA
36987,CARLOS MAGNO FARIA
70181,JEFFERSON CAMPISTA DA SILVA
70890,CRISTIANO MONÇÃO RANGEL
28898,IVANILDA BARBOSA DE OLIVEIRA STELLET
17950,REGINA MARIA ANDRADE BORGES
10007,ÉDINA DOS SANTOS GOMES
33789,GEISON RANGEL VALERIO
13516,ANTÔNIO CARLOS ROSA MARTINS
18963,JOÃO CARLOS SOARES BRAGA
90890,LUCIANA TRINDADE DE SOUZA SILVA
45678,LEONARDO BARBOSA FERNANDES
70000,JOSÉ SALGADO NETO
18473,KEILA CRISTINA COELHO DA SILVA MACHADO
28333,MARIA HELENA DE OLIVEIRA BORGES
55025,FRANÇOISE DA SILVA CIAFRINO
10300,LUCIANO SILVA DOS SANTOS
77700,BRUNO FABIANO RIBEIRO CARVALHO
55567,JEAN MARCOS DE PASSOS CUNHA
20022,VANILDA RANGEL CARVALHO
23100,VICTOR FLÁVIO MONTALVÃO OLIVEIRA
45455,SIMONY DE JESUS CARVALHO
12277,MARCOS PAULO DA SILVA SANTOS
90122,JULIA AUXILIADORA RIBEIRO DE SOUZA LAMÔNICA
19222,ORLANDO JÚNIOR SOARES DOS SANTOS
