NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_RECEITA,VR_DESPESA_CONTRATADA
4,41,1,2,1,15283.2,14444.45
3,58,1,2,5,3692.65,0.0
6,52,1,5,1,187.5,0.0
6,44,1,2,4,187.5,0.0
16,42,1,0,1,0.0,0.0
7,48,0,5,1,0.0,0.0
4,44,1,2,1,3283.37,1589.0
1,56,1,5,1,2110.2,0.0
25,55,0,2,5,2240.12,0.0
6,53,0,2,5,187.5,0.0
25,48,1,0,1,3479.43,901.05
19,67,0,2,1,2075.95,600.0
19,41,0,2,1,3822.95,0.0
2,52,1,2,4,1173.89,0.0
0,50,1,2,4,3179.7,2000.0
16,42,1,5,1,5006.849999999999,0.0
14,38,0,2,5,1574.0800000000002,0.0
6,45,0,2,4,187.5,0.0
8,65,1,2,4,367.56,0.0
14,55,0,2,5,294.08,0.0
16,53,1,0,1,5006.849999999999,0.0
23,39,0,2,1,950.0,0.0
19,45,1,2,1,57529.64,36316.56
13,48,1,2,5,52221.62,50000.0
13,67,1,2,4,3452.4500000000003,0.0
19,42,1,6,1,6280.0,4520.2
8,22,1,2,4,1062.56,691.9
25,37,1,0,1,3367.65,0.0
8,65,1,3,4,1667.56,300.0
13,43,1,5,4,6248.45,4470.0
20,51,0,6,5,3893.38,1500.0
14,42,0,0,5,1574.08,0.0
12,60,1,2,1,6151.62,3000.0
5,29,1,2,1,272.0,0.0
20,35,0,2,1,5904.38,3509.5
22,47,1,5,1,7307.75,5124.0
8,53,1,2,5,367.56,0.0
9,40,1,2,4,5326.849999999999,0.0
8,41,0,2,5,7155.0599999999995,6474.05
14,62,1,0,4,1574.08,0.0
0,46,1,2,4,4179.7,3000.0
22,33,1,2,4,1652.4499999999998,0.0
6,64,1,0,5,187.5,0.0
16,24,1,6,1,23966.48,23966.48
8,30,1,5,4,1917.56,50.0
1,23,1,1,5,1741.3,0.0
14,57,1,2,4,2593.67,9.0
19,55,0,5,4,2425.95,940.45
9,43,0,2,1,5001.849999999999,200.0
19,46,1,2,1,1644.7,0.0
1,35,1,2,5,7905.21,5051.35
13,56,0,2,5,2102.45,450.0
12,55,1,5,1,372.45,0.0
15,43,1,3,4,3303.0,1012.0
8,60,0,5,4,367.56,0.0
23,69,1,0,1,900.0,0.0
18,52,0,2,4,1307.98,0.0
15,41,1,5,4,14101.0,8500.0
5,59,1,1,1,272.0,0.0
18,22,1,6,1,14861.19,13500.0
8,61,1,2,4,3181.56,2788.2
25,35,0,2,1,2976.38,463.0
14,38,1,2,5,2105.38,0.0
4,57,0,5,1,8590.11,2610.0
0,45,1,5,1,36561.96,29805.1
8,28,0,2,1,655.06,0.0
24,23,1,2,1,918.9,0.0
9,37,1,2,4,9851.85,2645.35
3,38,1,5,1,3493.9,0.0
12,32,1,0,5,372.45,0.0
24,48,0,3,1,5221.89,3120.0
12,47,1,2,4,372.45,0.0
9,57,1,0,4,77304.45,14240.96
3,38,1,0,4,4144.7,0.0
13,44,1,1,4,2136.45,0.0
24,32,1,5,1,7869.99,10847.0
13,34,0,2,4,11241.32,8167.0
6,32,1,1,5,187.5,0.0
25,44,1,1,4,2513.38,0.0
0,55,1,4,4,2957.47,2000.0
25,34,1,2,1,3422.65,0.0
15,46,0,5,1,13980.48,12197.15
7,42,1,2,5,585.0,585.0
14,31,0,5,1,1574.08,0.0
9,56,0,5,1,5186.85,0.0
13,40,1,6,4,1850.95,198.5
2,48,1,1,4,2723.49,1693.0
19,39,1,2,1,2279.95,1450.0
18,43,1,2,4,1387.04,0.0
1,57,1,2,1,1805.95,0.0
5,57,0,2,1,2791.58,2519.58
20,56,1,6,1,4059.23,1665.8500000000001
1,61,0,5,1,1429.0,0.0
18,59,0,0,4,1087.39,0.0
1,65,1,5,5,38515.45,34980.0
1,57,0,2,1,1429.0,0.0
1,49,1,1,1,3235.2,400.0
8,25,1,2,5,367.56,0.0
4,46,1,2,1,771.43,0.0
11,54,1,6,1,4801.849999999999,0.0
16,48,1,0,4,29792.489999999998,21495.0
11,59,1,2,4,548.49,0.0
5,60,0,5,1,272.0,0.0
24,38,1,2,4,924.0,0.0
6,60,1,2,4,187.5,369.25
15,44,1,2,4,4489.3,1946.8
12,52,1,0,1,372.45,0.0
22,45,1,5,1,10179.37,7000.0
23,68,1,0,1,900.0,0.0
16,54,0,1,1,438.49,0.0
9,35,1,5,1,5416.849999999999,0.0
23,52,0,0,5,950.0,0.0
9,42,1,2,1,5266.849999999999,0.0
20,33,1,6,4,2552.76,0.0
25,43,1,2,5,2578.38,0.0
14,63,1,1,5,2074.08,0.0
16,49,1,0,5,10467.6,8767.6
18,43,1,2,4,1087.39,0.0
18,59,0,4,5,1087.3899999999999,0.0
19,43,1,2,1,3094.7,1450.0
6,63,0,1,1,187.5,0.0
7,43,0,2,1,196.0,196.0
3,40,1,5,1,18718.45,9984.119999999999
14,38,1,6,4,29651.42,28740.42
4,53,0,2,4,771.38,0.0
9,28,1,5,1,5546.849999999999,0.0
12,77,1,5,1,1652.45,0.0
20,44,1,0,4,6968.38,3640.0
19,57,1,0,1,829.9499999999999,0.0
