NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_RECEITA,VR_DESPESA_CONTRATADA
13,50,0,2,4,2552.4500000000003,0.0
8,39,1,2,4,3067.56,2700.0
0,30,1,2,5,5149.7,3430.0
23,47,0,2,1,950.0,0.0
12,72,0,2,5,372.45,0.0
15,55,0,2,1,11701.38,10000.0
24,50,1,2,5,1096.8,0.0
25,37,1,2,4,2973.9,0.0
15,27,1,0,4,134.95,0.0
14,69,0,0,1,2168.67,0.0
1,35,1,5,1,16926.2,14091.0
8,35,0,0,1,4833.0599999999995,3867.8
9,47,1,3,4,5281.849999999999,0.0
13,55,0,2,4,1652.4499999999998,0.0
22,31,1,5,4,1918.9499999999998,0.0
12,58,1,5,1,4156.15,3850.9
22,33,0,2,4,1652.45,0.0
22,37,0,6,1,1652.45,0.0
20,46,0,6,1,3828.38,1500.0
2,57,0,2,1,7171.849999999999,2426.5
3,39,1,3,1,3298.9,0.0
19,58,1,0,1,2815.95,1340.0
13,56,0,2,1,1652.4499999999998,0.0
22,37,1,1,4,1617.5,0.0
9,33,0,5,1,4821.849999999999,60.0
4,55,0,2,1,771.43,0.0
16,42,0,0,1,55281.85,49570.04
1,58,1,2,1,41132.27,37999.0
18,56,1,2,4,14659.44,10000.0
22,28,1,0,5,1815.95,0.0
15,50,1,2,4,15039.58,10000.0
19,41,1,0,4,5175.95,3680.0
14,48,0,2,1,1574.08,0.0
22,42,0,2,4,1810.45,0.0
12,54,1,1,5,938.4,564.9
8,60,1,1,1,1667.56,1300.0
11,40,0,3,5,4606.85,0.0
9,37,0,2,1,10031.849999999999,5000.0
20,60,1,6,1,29739.95,26228.85
16,47,1,0,5,2350.0,1066.25
1,46,1,2,5,1951.3,208.85
5,50,1,1,1,2830.7,2558.7
22,45,1,2,1,1924.4499999999998,255.0
8,49,1,2,5,2050.0,2050.0
20,47,0,3,1,3490.12,1500.0
2,25,1,2,4,4153.5599999999995,0.0
2,39,1,2,1,55.2,0.0
19,55,0,2,1,2075.95,600.0
15,37,1,2,4,1637.95,0.0
1,44,0,2,1,10110.2,8000.0
25,42,1,2,5,2973.9,0.0
22,57,0,2,1,1652.45,0.0
12,48,1,0,4,2570.9500000000003,2130.0
15,45,1,0,4,3155.38,0.0
16,62,1,0,1,22826.66,17419.9
7,33,0,2,5,0.0,0.0
24,38,0,2,1,4010.0,0.0
1,36,1,2,1,5685.2,2846.0
16,37,0,1,5,518.49,0.0
0,32,1,4,5,4029.7,2999.0
23,42,0,0,1,0.0,0.0
3,45,1,2,4,5393.9,1871.95
0,53,0,4,1,6679.7,5493.0
7,51,1,5,1,2110.0,1910.0
20,44,0,5,1,3707.62,1500.0
